sample_id,match_id,source_url,focus_athlete_id,partner_athlete_id,bundle_id,bundle_index,bundle_size,source_event_index,source_label,source_key,criterion_event_index,criterion_label,criterion_type,criterion_ts,frame_ts,frame_offset,response_event_index,response_label,response_key,leaf_label,family_label,category_label,visual_leaf_label,visual_family_label,visual_category_label,visual_label_collapsed,taxonomy_path
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0008_w0002_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,1,8,6,Sweep,sweep,8,Mount,control,708.0,707.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0008_w0002_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,1,8,6,Sweep,sweep,8,Mount,control,708.0,707.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0008_w0002_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,1,8,6,Sweep,sweep,8,Mount,control,708.0,708.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0008_w0002_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,1,8,6,Sweep,sweep,8,Mount,control,708.0,708.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0008_w0002_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,1,8,6,Sweep,sweep,8,Mount,control,708.0,708.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0009_w0003_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,2,8,6,Sweep,sweep,9,Mount,control,733.0,732.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0009_w0003_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,2,8,6,Sweep,sweep,9,Mount,control,733.0,732.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0009_w0003_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,2,8,6,Sweep,sweep,9,Mount,control,733.0,733.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0009_w0003_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,2,8,6,Sweep,sweep,9,Mount,control,733.0,733.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0009_w0003_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,2,8,6,Sweep,sweep,9,Mount,control,733.0,733.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0010_w0004_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,3,8,6,Sweep,sweep,10,Mount,control,762.0,761.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0010_w0004_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,3,8,6,Sweep,sweep,10,Mount,control,762.0,761.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0010_w0004_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,3,8,6,Sweep,sweep,10,Mount,control,762.0,762.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0010_w0004_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,3,8,6,Sweep,sweep,10,Mount,control,762.0,762.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0010_w0004_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,3,8,6,Sweep,sweep,10,Mount,control,762.0,762.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0011_w0005_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,4,8,6,Sweep,sweep,11,Mount,control,803.0,802.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0011_w0005_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,4,8,6,Sweep,sweep,11,Mount,control,803.0,802.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0011_w0005_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,4,8,6,Sweep,sweep,11,Mount,control,803.0,803.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0011_w0005_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,4,8,6,Sweep,sweep,11,Mount,control,803.0,803.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0011_w0005_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,4,8,6,Sweep,sweep,11,Mount,control,803.0,803.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0012_w0006_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,5,8,6,Sweep,sweep,12,Mount,control,829.0,828.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0012_w0006_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,5,8,6,Sweep,sweep,12,Mount,control,829.0,828.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0012_w0006_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,5,8,6,Sweep,sweep,12,Mount,control,829.0,829.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0012_w0006_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,5,8,6,Sweep,sweep,12,Mount,control,829.0,829.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0012_w0006_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,5,8,6,Sweep,sweep,12,Mount,control,829.0,829.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0013_w0007_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,6,8,6,Sweep,sweep,13,Mount,control,848.0,847.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0013_w0007_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,6,8,6,Sweep,sweep,13,Mount,control,848.0,847.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0013_w0007_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,6,8,6,Sweep,sweep,13,Mount,control,848.0,848.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0013_w0007_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,6,8,6,Sweep,sweep,13,Mount,control,848.0,848.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0013_w0007_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,6,8,6,Sweep,sweep,13,Mount,control,848.0,848.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0014_w0008_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,7,8,6,Sweep,sweep,14,Mount,control,859.0,858.4,-0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0014_w0008_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,7,8,6,Sweep,sweep,14,Mount,control,859.0,858.7,-0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0014_w0008_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,7,8,6,Sweep,sweep,14,Mount,control,859.0,859.0,0.0,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0014_w0008_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,7,8,6,Sweep,sweep,14,Mount,control,859.0,859.3,0.3,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0014_w0008_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:6:15,7,8,6,Sweep,sweep,14,Mount,control,859.0,859.6,0.6,15,Sweep,sweep,mount,mount,control,mount,mount,control,False,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0016_w0009_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:15:17,0,1,15,Sweep,sweep,16,Triangle Attempt,submission,1209.0,1208.4,-0.6,17,Closed Guard,closed guard,triangle attempt,triangle attempt,submission,triangle attempt,triangle attempt,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0016_w0009_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:15:17,0,1,15,Sweep,sweep,16,Triangle Attempt,submission,1209.0,1208.7,-0.3,17,Closed Guard,closed guard,triangle attempt,triangle attempt,submission,triangle attempt,triangle attempt,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0016_w0009_f02,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:15:17,0,1,15,Sweep,sweep,16,Triangle Attempt,submission,1209.0,1209.0,0.0,17,Closed Guard,closed guard,triangle attempt,triangle attempt,submission,triangle attempt,triangle attempt,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0016_w0009_f03,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:15:17,0,1,15,Sweep,sweep,16,Triangle Attempt,submission,1209.0,1209.3,0.3,17,Closed Guard,closed guard,triangle attempt,triangle attempt,submission,triangle attempt,triangle attempt,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0016_w0009_f04,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:15:17,0,1,15,Sweep,sweep,16,Triangle Attempt,submission,1209.0,1209.6,0.6,17,Closed Guard,closed guard,triangle attempt,triangle attempt,submission,triangle attempt,triangle attempt,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0018_w0010_f00,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:17:24,0,6,17,Closed Guard,closed guard,18,Armbar Attempt,submission,1281.0,1280.4,-0.6,24,Half Guard,half guard,armbar attempt,armbar attempt,submission,armbar,arm-lock,submission,True,[]
d68f7604-d0a1-454f-9e54-df6b2ba81a27_e0018_w0010_f01,d68f7604-d0a1-454f-9e54-df6b2ba81a27,https://www.youtube.com/watch?v=22QAtq917NI&t=240s,1cb1d5d7-1df9-477d-9260-9f9107e0d482,a4f5f6c1-d877-4e33-ba3e-e027a46735d9,d68f7604-d0a1-454f-9e54-df6b2ba81a27:17:24,0,6,17,Closed Guard,closed guard,18,Armbar Attempt,submission,1281.0,1280.7,-0.3,24,Half Guard,half guard,armbar attempt,armbar attempt,submission,armbar,arm-lock,submission,True,[]
